ID_INTERVENCION;CODIGO_UNICO_INVERSION;JERARQUIA;CODIGO_RUTA;TRAYECTORIA;INICIO;FINAL;ID_DEPARTAMENTO;ID_PROVINCIA;DEPARTAMENTO;PROVINCIA;NORMA_RECLASIFICACION;ESTADO;SUPERFICIE;NRO_CONVENIO;LONGITUD;RESPONSABLE;CVA_COMPONENTE_CARTERA;NIVEL_INTERVENCION;TRAMO;FECHA_CORTE
1;2447282;RVD;TA-101;EMP. PE-1S (DV. CHILCAL) - CHILCAL - ITE - EMP. PE-1S D (DV. ITE).;0+000;30+372;23;2303;TACNA;JORGE BASADRE;SIN RECLASIFICACION;BUENO;ASFALTADO;CONVENIO 234-2021-MTC/21;30.37;PROREGION;;CONSERVACION;-;20240630
2;2447282;RVD;TA-103;EMP. PE-38 (TARATA) - TICACO - ARICOTA - CANDARAVE - DV. ARAÑANE - EMP. PE-36 A.;0+000;74+742;23;2302- 2304;TACNA;CANDARAVE- TARATA;SIN RECLASIFICACION;BUENO;ASFALTADO;CONVENIO 234-2021-MTC/21;74.74;PROREGION;;CONSERVACION;-;20240630
3;2447282;RVD;TA-103;EMP. PE-38 (TARATA) - TICACO - ARICOTA - CANDARAVE - DV. ARAÑANE - EMP. PE-36 A.;74+742;86+021;23;2302;TACNA;CANDARAVE;SIN RECLASIFICACION;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;11.28;PROREGION;;MEJORAMIENTO;-;20240630
4;2447282;RVV;TA-515;EMP. PE-1S (PTE. CAMIARA) - CAMIARA - SANTALLANA - LOCUMBA - PTE. LOCUMBA - SOGOLLO - HUANCARANE - OCONCHAY - MIRAVE - ILABAYA - CHULULUNI - DV. CAMILACA - ALTO CAMILACA - EMP. TA-105.;0+000;85+948;23;2302- 2303;TACNA;CANDARAVE- JORGE BASADRE;R.M. N° 300-2019-MTC/01.02;BUENO;ASFALTADO;CONVENIO 234-2021-MTC/21;85.95;PROREGION;;CONSERVACION;-;20240630
5;2447282;RVV;TA-515;EMP. PE-1S (PTE. CAMIARA) - CAMIARA - SANTALLANA - LOCUMBA - PTE. LOCUMBA - SOGOLLO - HUANCARANE - OCONCHAY - MIRAVE - ILABAYA - CHULULUNI - DV. CAMILACA - ALTO CAMILACA - EMP. TA-105.;85+948;94+360;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;8.41;PROREGION;;MEJORAMIENTO;-;20240630
6;2447282;RVV;TA-517;EMP. TA- 511 - DV. CHARIPUJIO - CAIRANI - CARAPAMPA - CHILLIHUISA - ANCOCALA - PTA. CARRETERA.;17+280;22+520;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;5.24;PROREGION;;MEJORAMIENTO;-;20240630
7;2447282;RVV;TA-518;EMP. TA-515 - COTAÑA - EMP. TA-524 (YARABAMBA).;0+000;16+105;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;16.11;PROREGION;;MEJORAMIENTO;-;20240630
8;2447282;RVV;TA-524;EMP. TA-517 - YARABAMBA - CALACALA - CHARIPUJIO - EMP. TA-517.;4+968;9+573;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;4.6;PROREGION;;MEJORAMIENTO;-;20240630
9;2447282;RVV;TA-529;EMP. TA-517 - EMP. TA-530.;0+000;12+742;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;12.74;PROREGION;;MEJORAMIENTO;-;20240630
10;2447282;RVV;TA-530;EMP. TA-544 - MOLLEBAYA - HUANUARA - PTE. MURALLA - PTE. PONDERA - TRES CRUCES - PTE. ANGOSTURA - HUAYCARA - PTE. GRANADILLO - PTE. CUCCHICAHUA - EMP. TA-515.;0+000;11+356;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;11.36;PROREGION;;MEJORAMIENTO;-;20240630
11;2447282;RVV;TA-544;EMP. TA-103 - CAICO - PTE. HUAYCUTA - DV. ANTAVILCA - EMP. TA-104.;0+000;2+588;23;2302;TACNA;CANDARAVE;R.M. N° 300-2019-MTC/01.02;BUENO;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;2.59;PROREGION;;MEJORAMIENTO;-;20240630
12;2447282;RVV;TA-575;EMP. TA-515 - CUAYLATA - EMP. TA-515.;0+000;6+478;23;2303;TACNA;JORGE BASADRE;SIN RECLASIFICACION;REGULAR;SOLUCION BASICA;CONVENIO 234-2021-MTC/21;6.48;PROREGION;;CONSERVACION;-;20240630
13;2444433;RVD;AR-119;EMP. PE-34 C - CHILITIA - MOCHE - LOGEN - L. D. MOQUEGUA (MO-100 A MATALAQUE).;0+000;30+019;04;0401;AREQUIPA;AREQUIPA;SIN RECLASIFICACION;BUENO;SOLUCION BASICA;CONVENIO 233-2021-MTC/21;30.02;PROREGION;;MEJORAMIENTO;-;20240630
